"SUID","AverageShortestPathLength","BetweennessCentrality","Chromosome Name","chromosome_name","ClosenessCentrality","ClusteringCoefficient","Drug(s)","Eccentricity","Entrez Gene Name","Exp False Discovery Rate (q-value)","Exp Log Ratio","Exp p-value","ID","IsSingleNode","Location","name","NeighborhoodConnectivity","Node Degree","NombreCromosoma","Notes","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","Symbol","TopologicalCoefficient","Type(s)"
"21357","5.40897223","0.00148978","X","0","0.18487801","0.0","","14","adaptor-related protein complex 1, sigma 2 subunit","1.0","-0.096","1.0","8905","false","Cytoplasm","AP1S2","11.25","4","X","","4","0","0","0.79959217","true","0","AP1S2","186884","","0.26973684","transporter"
"21358","5.57275101","0.00246536","6",,"0.17944459","0.04444444","","15","SR-related CTD-associated factor 8","1.0","0.065","1.0","22828","false","Nucleus","SCAF8","5.0","4","6","","10","0","0","0.79214768","true","0","SCAF8","314904","","0.12222222","other"
"21359","5.00094944","0.00217607","22","22","0.19996203","0.36111111","","13","parvin, beta","1.0","0.121","1.0","29780","false","Cytoplasm","PARVB","25.0","9","22","","9","0","0","0.81813866","true","0","PARVB","429672","","0.16931217","other"
"21360","5.30477095","0.00488762","19",,"0.18850955","0.14545455","","14","adaptor-related protein complex 2, alpha 1 subunit","1.0","0.304","1.0","160","false","Cytoplasm","AP2A1","10.54545455","11","19","","11","0","0","0.80432859","true","0","AP2A1","853454","","0.12794613","transporter"
"21361","5.38286257","0.00182987","5",,"0.18577476","0.19444444","","15","mitochondrial ribosomal protein S27","1.0","0.14","1.0","23107","false","Cytoplasm","MRPS27","15.77777778","2","5","","9","0","0","0.80077897","true","0","MRPS27","398520","","0.16036655","other"
"21362","5.77972941","3.2505E-4","1","1","0.17301848","0.42857143","","14","hepatoma-derived growth factor","1.07E-15","0.761","1.37E-16","3068","false","Extracellular Space","HDGF","17.14285714","7","1","","7","0","0","0.78273957","true","0","HDGF","73400","","0.23809524","growth factor"
"21363","6.16828863","0.00114267","17",,"0.16211952","0.0","","15","WW domain binding protein 2","1.0","-0.122","1.0","23558","false","Cytoplasm","WBP2","6.33333333","5","17","","3","0","0","0.76507779","true","0","WBP2","158154","","0.33333333","other"
"21364","5.52385474","0.00281551","17",,"0.181033","0.18181818","","15","mitochondrial ribosomal protein L10","1.0","-0.16","1.0","124995","false","Cytoplasm","MRPL10","10.45454545","6","17","","11","0","0","0.79437024","true","0","MRPL10","429992","","0.1322314","other"
"21365","5.42036554","0.00206965","CHR_HG26_PATCH",,"0.1844894","0.225","","15","eukaryotic translation initiation factor 3, subunit K","1.0","-0.25","1.0","27335","false","Cytoplasm","EIF3K","12.8125","6","CHR_HG26_PATCH","","16","0","0","0.79907429","true","0","EIF3K","425732","","0.12317961","translation regulator"
"21366","5.68075006","0.00105891","17",,"0.17603309","0.23809524","","14","elongation factor Tu GTP binding domain containing 2","1.0","0.292","1.0","9343","false","Nucleus","EFTUD2","12.71428571","6","17","","7","0","0","0.78723863","true","0","EFTUD2","243108","","0.18487395","enzyme"
"21367","5.87657251","5.6452E-4","1",,"0.17016722","0.3","","14","OTU deubiquitinase 7B","1.0","0.396","0.997","56957","false","Cytoplasm","OTUD7B","10.0","5","1","","5","0","0","0.77833761","true","0","OTUD7B","96748","","0.26486486","peptidase"
"21368","5.22027059","0.01418932","8",,"0.19156095","0.02777778","","15","protein phosphatase 1, regulatory subunit 16A","0.0834","0.587","0.023","84988","false","Plasma Membrane","PPP1R16A","12.66666667","17","8","","9","0","0","0.80816952","true","0","PPP1R16A","2635332","","0.12647754","other"
"21369","5.25492523","0.00307646","19",,"0.19029766","0.2","","13","NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)","1.0","-0.105","1.0","374291","false","Cytoplasm","NDUFS7","13.4","3","19","","10","0","0","0.80659431","true","0","NDUFS7","596738","","0.1494382","enzyme"
"21370","5.32352243","0.00729758","9",,"0.18784555","0.16483516","","13","mitochondrial ribosomal protein S2","1.0","-0.032","1.0","51116","false","Cytoplasm","MRPS2","14.21428571","1","9","","14","0","0","0.80347625","true","0","MRPS2","1151504","","0.12612613","other"
"21371","7.48041775","0.0","11",,"0.13368237","1.0","","14","adaptor-related protein complex 2, alpha 2 subunit","1.0","-0.154","1.0","161","false","Cytoplasm","AP2A2","5.0","21","11","","2","0","0","0.70543556","true","0","AP2A2","0","","0.625","transporter"
"21372","6.48089248","0.0023384","14",,"0.15429974","0.28571429","","13","legumain","1.0","-0.351","1.0","5641","false","Cytoplasm","LGMN","9.25","8","14","","8","0","0","0.75086852","true","0","LGMN","478680","","0.26071429","peptidase"
"21373","7.48041775","0.0","19",,"0.13368237","1.0","","14","mucolipin 1","1.0","-0.106","1.0","57192","false","Cytoplasm","MCOLN1","5.0","2","19","","2","0","0","0.70543556","true","0","MCOLN1","0","","0.625","ion channel"
"21374","1.0","0.0","5",,"1.0","0.0","","1","adaptor-related protein complex 3, beta 1 subunit","2.88E-6","0.669","5.57E-7","8546","false","Plasma Membrane","AP3B1","1.0","1","5","","1","0","0","1.0","true","0","AP3B1","0","","0.0","transporter"
"21375","4.0","0.03892302","14",,"0.25","0.78571429","","9","KIAA0391","2.03E-14","0.803","2.73E-15","9692","false","Cytoplasm","KIAA0391","7.625","8","14","","8","0","0","0.7","true","0","KIAA0391","1348","","0.54464286","other"
"21376","7.24922858","0.00662558","19",,"0.13794571","0.0","","14","adaptor-related protein complex 3, delta 1 subunit","1.0","0.3","1.0","8943","false","Cytoplasm","AP3D1","3.0","6","19","","2","0","0","0.71594416","true","0","AP3D1","1021356","","0.5","transporter"
"21377","6.25611203","0.00756364","10","10","0.15984368","0.16666667","","13","placenta-specific 9","3.51E-191","-2.428","1.79E-193","219348","false","Other","PLAC9","7.5","4","10","","4","0","0","0.76108582","true","0","PLAC9","1137424","","0.29166667","other"
"21378","8.24281984","0.00615379","1",,"0.12131771","0.0","","15","S100 calcium binding protein A6","1.0","-0.478","0.663","6277","false","Cytoplasm","S100A6","2.5","2","1","","2","0","0","0.67078092","true","0","S100A6","964648","","0.5","transporter"
"21379","1.0","0.0","5","5","1.0","0.0","","1","adaptor-related protein complex 3, sigma 1 subunit","1.0","0.374","0.989","1176","false","Cytoplasm","AP3S1","1.0","1","5","","1","0","0","1.0","true","0","AP3S1","0","","0.0","transporter"
"21380","1.0","1.0","9",,"1.0","0.0","PX-12","1","thioredoxin","1.45E-12","0.754","2.09E-13","7295","false","Cytoplasm","TXN","1.0","2","9","","2","0","0","1.0","true","0","TXN","2","","0.0","enzyme"
"21381","6.47044861","6.0549E-4","11",,"0.15454879","0.33333333","","15","adaptor-related protein complex 5, beta 1 subunit","1.0","-0.366","1.0","91056","false","Cytoplasm","AP5B1","4.25","4","11","","4","0","0","0.75134324","true","0","AP5B1","94554","","0.33333333","other"
"21382","6.64063613","0.00109457","20",,"0.15058798","0.2","","15","RAB22A, member RAS oncogene family","1.0","0.397","0.993","57403","false","Cytoplasm","RAB22A","3.2","7","20","","5","0","0","0.74360745","true","0","RAB22A","122764","","0.28","enzyme"
"21383","7.31592689","0.0","CHR_HSCHR6_MHC_MANN_CTG1",,"0.13668808","1.0","collagenase clostridium histolyticum","16","collagen, type XI, alpha 2","8.42E-7","-1.026","1.57E-7","1302","false","Extracellular Space","COL11A2","4.5","2","6","","2","0","0","0.71291241","true","0","COL11A2","0","","0.75","other"
"21384","5.99169238","0.00386003","CHR_HSCHR6_1_CTG5",,"0.16689775","0.1","","14","family with sequence similarity 120B","1.0","-0.125","1.0","84498","false","Other","FAM120B","6.6","6","6","","5","0","0","0.77310489","true","0","FAM120B","525238","","0.22222222","other"
"21385","9.60337052","0.0","20",,"0.10413011","0.0","","18","adaptor-related protein complex 5, sigma 1 subunit","1.0","0.071","1.0","55317","false","Cytoplasm","AP5S1","3.0","24","20","","1","0","0","0.6089377","true","0","AP5S1","0","","0.0","other"
"21386","8.60360788","9.4933E-4","13",,"0.11623031","0.0","","17","serine/threonine kinase 24","1.0","0.098","1.0","8428","false","Cytoplasm","STK24","1.33333333","9","13","","3","0","0","0.65438146","true","0","STK24","85818","","0.33333333","kinase"
"21387","3.02857143","3.6691E-4","7",,"0.33018868","0.84444444","","8","adaptor-related protein complex 5, zeta 1 subunit","1.0","0.032","1.0","9907","false","Nucleus","AP5Z1","20.1","10","7","","10","0","0","0.79714286","true","0","AP5Z1","18","","0.628125","other"
"21388","1.0","0.0","CHR_HSCHR12_1_CTG1",,"1.0","0.0","","1","IQ motif and Sec7 domain 3","1.48E-46","-1.936","8.34E-48","440073","false","Cytoplasm","IQSEC3","1.0","1","12","","1","0","0","1.0","true","0","IQSEC3","0","","0.0","other"
"21389","5.98670781","0.0","3",,"0.16703671","0.0","","16","acylaminoacyl-peptide hydrolase","1.0","0.23","1.0","327","false","Cytoplasm","APEH","12.0","7","3","","1","0","0","0.77333146","true","0","APEH","0","","0.0","peptidase"
"21390","4.98694517","0.01358885","3",,"0.20052356","0.12121212","","15","ubiquinol-cytochrome c reductase core protein I","1.0","0.154","1.0","7384","false","Cytoplasm","UQCRC1","15.83333333","4","3","","12","0","0","0.81877522","true","0","UQCRC1","3229238","","0.10714286","enzyme"
"21391","6.40564918","0.0","X",,"0.1561122","0.0","","16","APEX nuclease (apurinic/apyrimidinic endonuclease) 2","0.848","0.515","0.276","27301","false","Nucleus","APEX2","5.0","1","X","","1","0","0","0.75428867","true","0","APEX2","0","","0.0","enzyme"
"21392","5.40588654","0.00261526","16",,"0.18498353","0.0","","15","vacuolar protein sorting 4 homolog A (S. cerevisiae)","1.0","-0.288","1.0","27183","false","Cytoplasm","VPS4A","10.4","5","16","","5","0","0","0.79973243","true","0","VPS4A","441014","","0.21363636","enzyme"
"21393","7.70306195","4.7472E-4","1",,"0.12981851","0.0","","17","APH1A gamma secretase subunit","1.0","0.475","0.852","51107","false","Cytoplasm","APH1A","1.5","2","1","","2","0","0","0.69531537","true","0","APH1A","74448","","0.5","peptidase"
"21394","8.70282459","0.0","12",,"0.11490522","0.0","","18","cysteine-serine-rich nuclear protein 2","1.0","0.366","1.0","81566","false","Nucleus","CSRNP2","2.0","1","12","","1","0","0","0.64987161","true","0","CSRNP2","0","","0.0","transcription regulator"
"21395","6.70377403","9.4922E-4","4",,"0.14916971","0.0","","16","F-box protein 8","1.0","-0.19","1.0","26269","false","Cytoplasm","FBXO8","3.5","2","4","","2","0","0","0.74073754","true","0","FBXO8","148892","","0.5","other"
"21396","9.30785663","0.0","11",,"0.10743612","0.0","","17","apoptosis inhibitor 5","1.0","0.251","1.0","8539","false","Cytoplasm","API5","2.0","9","11","","1","0","0","0.62237015","true","0","API5","0","","0.0","other"
"21397","2.76190476","0.0952381","11",,"0.36206897","0.0","","4","apelin receptor","1.0","-0.39","0.999","187","false","Plasma Membrane","APLNR","3.0","2","11","","2","0","0","0.64761905","true","0","APLNR","70","","0.5","G-protein coupled receptor"
"21398","1.0","0.0","20","20","1.0","0.0","","1","prion protein 2 (dublet)","1.0","-0.012","1.0","23627","false","Plasma Membrane","PRND","1.0","1","20","","1","0","0","1.0","true","0","PRND","0","","0.0","other"
"21399","6.34369808","0.0","19",,"0.15763676","0.0","","14","amyloid beta (A4) precursor-like protein 1","0.00558","0.758","0.00135","333","false","Extracellular Space","APLP1","6.0","1","19","","1","0","0","0.75710463","true","0","APLP1","0","","0.0","other"
"21400","5.34393544","0.00506072","X",,"0.18712801","0.0","","13","FYVE, RhoGEF and PH domain containing 1","1.0","0.514","0.386","2245","false","Cytoplasm","FGD1","11.16666667","6","X","","6","0","0","0.80254839","true","0","FGD1","809316","","0.17528736","other"
"21401","6.04723475","0.0","20",,"0.16536484","1.0","","14","adipocyte plasma membrane associated protein","1.0","0.018","1.0","57136","false","Plasma Membrane","APMAP","15.0","1","20","","2","0","0","0.77058024","true","0","APMAP","0","","0.57692308","enzyme"
"21402","8.93567529","0.0","22","22","0.11191096","0.0","","17","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F","1.0","-0.476","0.715","200316","false","Cytoplasm","APOBEC3F","3.0","1","22","","1","0","0","0.63928749","true","0","APOBEC3F","0","","0.0","enzyme"
"21403","7.93591265","9.4933E-4","5","5","0.12600945","0.0","","16","glutathione peroxidase 8 (putative)","1.0","0.361","1.0","493869","false","Cytoplasm","GPX8","3.0","3","5","","3","0","0","0.68473124","true","0","GPX8","120930","","0.33333333","enzyme"
"21404","5.55993354","7.1456E-4","16",,"0.17985827","0.33333333","","13","apolipoprotein B receptor","1.0","0.388","0.99","55911","false","Plasma Membrane","APOBR","29.0","3","16","","3","0","0","0.79273029","true","0","APOBR","138676","","0.37719298","transmembrane receptor"
"21405","5.02373606","0.02668582","11",,"0.19905504","0.16468254","","14","FK506 binding protein 2, 13kDa","1.0","0.156","1.0","2286","false","Cytoplasm","FKBP2","17.03125","64","11","","64","0","0","0.81710291","true","0","FKBP2","6883214","","0.06608706","enzyme"
"21406","5.6052694","6.8307E-4","20",,"0.17840356","0.44871795","","14","ribosome binding protein 1","1.0","0.491","0.574","6238","false","Cytoplasm","RRBP1","23.53846154","13","20","","13","0","0","0.79066957","true","0","RRBP1","195930","","0.20118343","other"
"21407","5.2340375","0.00299914","11",,"0.19105709","0.11111111","","14","NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)","1.0","0.404","0.993","4728","false","Cytoplasm","NDUFS8","8.2","18","11","","10","0","0","0.80754375","true","0","NDUFS8","488698","","0.13","enzyme"
"21408","7.15831949","4.7472E-4","19",,"0.13969759","0.0","","14","apolipoprotein C-I","0.0931","0.618","0.0259","341","false","Extracellular Space","APOC1","4.0","1","19","","2","0","0","0.72007639","true","0","APOC1","56458","","0.5","transporter"
"21409","8.15808213","0.0","10",,"0.12257783","0.0","","15","polycystic kidney disease 2-like 1","0.00342","0.825","8.11E-4","9033","false","Plasma Membrane","PKD2L1","2.0","1","10","","1","0","0","0.67463263","true","0","PKD2L1","0","","0.0","ion channel"
"21410","6.15903157","0.00254593","19",,"0.16236319","0.04761905","","13","apolipoprotein E","1.0","0.161","1.0","348","false","Extracellular Space","APOE","4.85714286","1","19","","7","0","0","0.76549857","true","0","APOE","297264","","0.17261905","transporter"
"21411","7.41585568","0.0","3",,"0.13484621","1.0","","16","apolipoprotein D","4.19E-40","-2.469","2.71E-41","347","false","Extracellular Space","APOD","5.0","2","3","","2","0","0","0.7083702","true","0","APOD","0","","0.625","transporter"
"21412","7.41585568","0.0","22",,"0.13484621","1.0","","16","BCL2-interacting killer (apoptosis-inducing)","7.86E-29","1.426","6.6E-30","638","false","Cytoplasm","BIK","5.0","2","22","","2","0","0","0.7083702","true","0","BIK","0","","0.625","other"
"21413","6.41633041","0.00248473","20",,"0.15585232","0.03571429","","15","ectonucleoside triphosphate diphosphohydrolase 6 (putative)","1.0","0.409","0.985","955","false","Cytoplasm","ENTPD6","2.375","3","20","","8","0","0","0.75380316","true","0","ENTPD6","366008","","0.18055556","enzyme"
"21414","6.50462853","8.7837E-4","15","15","0.15373668","0.0","","14","chromosome 15 open reading frame 59","1.0","0.142","0.998","388135","false","Other","C15orf59","5.33333333","3","15","","3","0","0","0.74978961","true","0","C15orf59","99094","","0.33333333","other"
"21415","7.12841206","2.3537E-4","2",,"0.1402837","0.0","","14","serine threonine kinase 39","0.0416","0.663","0.0111","27347","false","Nucleus","STK39","4.5","2","2","","2","0","0","0.72143582","true","0","STK39","21160","","0.5","kinase"
"21416","6.3814384","2.6072E-4","8",,"0.15670448","0.0","","14","dual specificity phosphatase 4","1.0","-0.33","0.936","1846","false","Nucleus","DUSP4","5.0","2","8","","2","0","0","0.75538916","true","0","DUSP4","27436","","0.5","phosphatase"
"21417","1.0","0.0","X",,"1.0","0.0","","1","apolipoprotein O","2.26E-26","1.039","2.04E-27","79135","false","Extracellular Space","APOO","1.0","1","X","","1","0","0","1.0","true","0","APOO","0","","0.0","other"
"21418","1.0","0.0","19",,"1.0","0.0","","1","zinc finger protein 69","1.0","-0.068","1.0","7620","false","Nucleus","ZNF69","1.0","1","19","","1","0","0","1.0","true","0","ZNF69","0","","0.0","other"
"21419","8.14929979","0.0","X",,"0.12270993","0.0","","16","apolipoprotein O-like","1.0","0.159","1.0","139322","false","Extracellular Space","APOOL","4.0","1","X","","1","0","0","0.67503183","true","0","APOOL","0","","0.0","other"
"21420","7.14953715","0.00331955","7",,"0.13986919","0.0","","15","",,,,,"false","","C7orf55-LUC7L2","3.0","1","7","","4","0","0","0.72047558","true","0","C7orf55-LUC7L2","836004","","0.25",""
"21421","6.0102065","0.00212701","14",,"0.16638363","0.06666667","","15","apoptogenic 1, mitochondrial","1.0","-0.038","1.0","84334","false","Cytoplasm","APOPT1","5.16666667","7","14","","6","0","0","0.77226334","true","0","APOPT1","458290","","0.1875","other"
"21422","7.00996914","0.0","19",,"0.14265398","0.0","","16","leucine rich repeat and fibronectin type III domain containing 3","1.0","0.185","1.0","79414","false","Other","LRFN3","6.0","1","19","","1","0","0","0.72681958","true","0","LRFN3","0","","0.0","other"
"21423","5.65558984","0.00302916","20",,"0.17681622","0.19444444","","15","RNA binding motif protein 12","1.0","0.217","1.0","10137","false","Nucleus","RBM12","13.0","9","20","","9","0","0","0.78838228","true","0","RBM12","519026","","0.14646465","other"
"21424","6.23736055","0.00151149","12",,"0.16032423","0.2","epothilone B, colchicine/probenecid, larotaxel, eribulin, davunetide, vintafolide, milataxel, cevipabulin, gemcitabine/paclitaxel, docetaxel/prednisone, capecitabine/docetaxel, paclitaxel/trastuzumab, cyclophosphamide/prednisone/vincristine, docetaxel/hydrocortisone, cyclophosphamide/docetaxel, gemcitabine/vinorelbine, cyclophosphamide/daunorubicin/imatinib/prednisone/vincristine, cyclophosphamide/topotecan/vincristine, docetaxel/gemcitabine, docetaxel/gemcitabine/vincristine, irinotecan/vincristine, irinotecan/temozolomide/vincristine, bevacizumab/paclitaxel, cyclophosphamide/docetaxel/epirubicin/5-fluorouracil/trastuzumab, docetaxel/trastuzumab, trastuzumab/vinorelbine, gemcitabine/oxaliplatin/paclitaxel, cyclophosphamide/epirubicin/vincristine, docetaxel/irinotecan, docetaxel/5-fluorouracil/oxaliplatin, capecitabine/docetaxel/gemcitabine, L-asparaginase/prednisone/vincristine, cyclophosphamide/etoposide/prednisone/rituximab/vincristine, cyclophosphamide/vinorelbine, cyclophosphamide/mitoxantrone/prednisone/vincristine, cyclophosphamide/etoposide/prednisone/vincristine, cyclophosphamide/prednisone/rituximab/vincristine, cyclophosphamide/mitoxantrone/prednisone/rituximab/vincristine, plinabulin, docetaxel/epirubicin, docetaxel/paclitaxel, epirubicin/paclitaxel, bevacizumab/paclitaxel/topotecan, paclitaxel/topotecan, bevacizumab/docetaxel, cyclophosphamide/prednisolone/vincristine, cyclophosphamide/prednisolone/rituximab/vincristine, cyclophosphamide/epirubicin/5-fluorouracil/vinorelbine, cyclophosphamide/epirubicin/5-fluorouracil/paclitaxel/trastuzumab, cyclophosphamide/epirubicin/5-fluorouracil/paclitaxel, cyclophosphamide/docetaxel/epirubicin/5-fluorouracil, cyclophosphamide/docetaxel/trastuzumab, docetaxel, vinflunine, vinorelbine, vincristine, vinblastine, paclitaxel, podophyllotoxin, colchicine","15","tubulin, alpha 1c","3.98E-40","0.912","2.57E-41","84790","false","Cytoplasm","TUBA1C","6.8","5","12","","5","0","0","0.76193816","true","0","TUBA1C","257944","","0.22857143","other"
"21425","5.70021362","0.00192104","22",,"0.17543202","0.13888889","","14","ribosomal protein S19 binding protein 1","1.0","0.128","1.0","91582","false","Nucleus","RPS19BP1","14.55555556","9","22","","9","0","0","0.78635393","true","0","RPS19BP1","465058","","0.18567251","other"
"21426","5.73842867","6.7692E-4","19",,"0.17426373","0.3","","14","SH3KBP1 binding protein 1","1.0","0.489","0.627","92799","false","Other","SHKBP1","14.4","5","19","","5","0","0","0.78461688","true","0","SHKBP1","162734","","0.27307692","other"
"21427","7.00949442","4.7472E-4","2",,"0.14266364","0.0","","16","protein phosphatase 1, regulatory subunit 7","1.0","0.15","1.0","5510","false","Nucleus","PPP1R7","3.5","4","2","","2","0","0","0.72684116","true","0","PPP1R7","98466","","0.5","phosphatase"
"21428","7.09755519","0.0","16",,"0.14089359","0.0","","15","adenine phosphoribosyltransferase","1.0","0.134","1.0","353","false","Cytoplasm","APRT","5.0","1","16","","1","0","0","0.7228384","true","0","APRT","0","","0.0","enzyme"
"21429","6.09779255","5.0556E-4","22",,"0.16399377","0.3","","14","polymerase (RNA) II (DNA directed) polypeptide F","1.0","0.08","1.0","5435","false","Nucleus","POLR2F","15.0","5","22","","5","0","0","0.76828216","true","0","POLR2F","119350","","0.3106383","enzyme"
"21430","5.38666034","0.0036703","X",,"0.18564378","0.28","vemurafenib, MLN2480","14","A-Raf proto-oncogene, serine/threonine kinase","1.0","-0.055","1.0","369","false","Cytoplasm","ARAF","21.96","1","X","","25","0","0","0.80060635","true","0","ARAF","1036112","","0.12110497","kinase"
"21431","5.58224543","0.00139065","1",,"0.17913938","0.36111111","","14","prefoldin subunit 2","2.5E-18","0.82","2.94E-19","5202","false","Cytoplasm","PFDN2","21.88888889","9","1","","9","0","0","0.79171612","true","0","PFDN2","271646","","0.1961962","other"
"21432","6.15428436","3.135E-5","10",,"0.16248843","0.66666667","","15","golgi brefeldin A resistant guanine nucleotide exchange factor 1","1.0","0.424","0.992","8729","false","Cytoplasm","GBF1","21.0","9","10","","3","0","0","0.76571435","true","0","GBF1","10736","","0.47727273","other"
"21433","5.22525516","0.00169427","19",,"0.19137821","0.41176471","","13","SURP and G patch domain containing 1","1.0","0.121","1.0","57794","false","Nucleus","SUGP1","27.72222222","18","19","","18","0","0","0.80794295","true","0","SUGP1","665456","","0.15487275","other"
"21434","5.74056492","6.3492E-4","16",,"0.17419888","0.4","","14","syntaxin 4","1.0","0.137","1.0","6810","false","Plasma Membrane","STX4","24.81818182","11","16","","11","0","0","0.78451978","true","0","STX4","138616","","0.22159091","transporter"
"21435","5.88369333","0.001043","1",,"0.16996127","0.2","","15","RAB13, member RAS oncogene family","1.0","0.334","1.0","5872","false","Plasma Membrane","RAB13","17.83333333","6","1","","6","0","0","0.77801394","true","0","RAB13","220950","","0.21666667","enzyme"
"21436","5.33088061","0.00163304","20",,"0.18758627","0.39492754","","13","centrosomal protein 250kDa","4.65E-4","0.665","1.04E-4","11190","false","Nucleus","CEP250","23.54166667","24","20","","24","0","0","0.80314179","true","0","CEP250","646042","","0.15359477","other"
"21437","5.67291716","0.00637398","7",,"0.17627615","0.05555556","","14","PHD finger protein 14","6.85E-7","0.727","1.27E-7","9678","false","Nucleus","PHF14","9.66666667","1","7","","9","0","0","0.78759467","true","0","PHF14","1016786","","0.15","other"
"21438","5.94422027","8.77E-6","19",,"0.16823064","0.66666667","","15","translocase of outer mitochondrial membrane 40 homolog (yeast)","3.59E-7","0.657","6.55E-8","10452","false","Cytoplasm","TOMM40","32.66666667","3","19","","3","0","0","0.77526271","true","0","TOMM40","3568","","0.42982456","ion channel"
"21439","5.15143603","0.01227711","19",,"0.19412063","0.2952381","","14","syntaxin 10","1.0","0.175","1.0","8677","false","Cytoplasm","STX10","23.85714286","21","19","","21","0","0","0.81129836","true","0","STX10","2782352","","0.13424805","other"
"21440","6.38642298","0.0","19",,"0.15658217","0.0","","15","zinc finger protein 428","1.0","0.338","1.0","126299","false","Other","ZNF428","25.0","1","19","","1","0","0","0.75516259","true","0","ZNF428","0","","0.0","other"
"21441","5.18086874","0.00747594","19",,"0.19301782","0.22941721","","13","growth arrest and DNA-damage-inducible, gamma interacting protein 1","1.0","0.342","1.0","90480","false","Nucleus","GADD45GIP1","19.89361702","47","19","","47","0","0","0.80996051","true","0","GADD45GIP1","2650354","","0.08584323","other"
"21442","5.10871113","0.01483748","19",,"0.19574409","0.32971014","","14","translocase of inner mitochondrial membrane 44 homolog (yeast)","1.0","0.163","1.0","10469","false","Cytoplasm","TIMM44","23.83333333","24","19","","24","0","0","0.8132404","true","0","TIMM44","4428716","","0.12746416","transporter"
"21443","5.75646808","3.4981E-4","X",,"0.17371763","0.31111111","","14","RNA binding motif protein, X-linked 2","1.0","0.087","1.0","51634","false","Other","RBMX2","19.1","10","X","","10","0","0","0.78379691","true","0","RBMX2","87672","","0.18543689","other"
"21444","5.517446","0.0080961","7",,"0.18124328","0.12105263","","14","BUD31 homolog","1.0","0.316","1.0","8896","false","Nucleus","BUD31","10.9","6","7","","20","0","0","0.79466155","true","0","BUD31","1226368","","0.09469027","transcription regulator"
"21445","5.34156183","0.00164665","19",,"0.18721116","0.40692641","","13","KRI1 homolog","1.0","0.184","1.0","65095","false","Nucleus","KRI1","26.45454545","2","19","","22","0","0","0.80265628","true","0","KRI1","575962","","0.15977961","other"
"21446","5.33016853","0.00420787","CHR_HG2030_PATCH",,"0.18761133","0.29064039","","14","surfeit 2","1.0","0.094","1.0","6835","false","Nucleus","SURF2","23.27586207","2","CHR_HG2030_PATCH","","29","0","0","0.80317416","true","0","SURF2","1305254","","0.11562875","other"
"21447","5.17588417","0.01035665","7",,"0.19320371","0.15692308","","14","Williams Beuren syndrome chromosome region 22","1.0","0.434","0.973","114049","false","Nucleus","WBSCR22","14.84615385","1","7","","26","0","0","0.81018708","true","0","WBSCR22","2270732","","0.08609123","enzyme"
"21448","5.4927605","0.00468374","7",,"0.18205782","0.27472527","","14","split hand/foot malformation (ectrodactyly) type 1","5.21E-34","1.039","3.83E-35","7979","false","Nucleus","SHFM1","16.14285714","14","7","","14","0","0","0.79578361","true","0","SHFM1","753674","","0.14285714","peptidase"
"21449","5.9584619","0.00116465","3",,"0.16782855","0.0","","16","ADP-ribosylation factor 4","0.0053","0.607","0.00128","378","false","Cytoplasm","ARF4","7.0","3","3","","3","0","0","0.77461537","true","0","ARF4","152744","","0.33333333","enzyme"
